ID,Name,Category,Address,Phone,Email,Website,Linked in,Facebook,Twitter,Google plus,Yelp,Yelp Rating,Yelp number of reviews,Yelp tags,Youtube,Instragram
11,NYC HEALING AND MASSAGE - Madison,Massage therapy,39th and Madison Aveÿ,646-352-3599 ,Info@NYChealing.com,http://www.nychealingandmassage.com/,,,,,http://www.yelp.com/biz/nyc-healing-and-massage-new-york,,,,,
12,NYC HEALING AND MASSAGE - 9th Ave,Massage therapy,34th and 9th Ave,646-352-3599 ,Info@NYChealing.com,http://www.nychealingandmassage.com/,,https://www.facebook.com/NYChealingandmassage,https://twitter.com/NYCHealing,https://plus.google.com/114302938867981215726/about,http://www.yelp.com/biz/nyc-healing-and-massage-new-york-2,,,,,
13,Independent Training Spot,"Massage therapy,Personal trainer","1 East 28th Street New York, NY 10016 ",212.213.1024,"info@ independenttrainingspot.com",http://www.independenttrainingspot.com/,,https://www.facebook.com/IndependentTrainingSpot,https://twitter.com/indtrainingspot,,http://www.yelp.com/biz/independent-training-spot-new-york,,,,,
14,Equinox - 63RD ST,Gym,"817 Lexington Avenue, New York, NY 10065",212.750.4900,,https://www.facebook.com/Equinox,https://www.linkedin.com/company/163664?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A163664%2Cidx%3A2-2-3%2CtarId%3A1442379160003%2Ctas%3Aequi,https://www.facebook.com/Equinox,https://twitter.com/Equinox,,http://www.yelp.com/biz/equinox-new-york-28,3.5,51,"Streching area, comfy mats,Very clean",https://www.youtube.com/user/equinox,https://instagram.com/equinox
15,Equinox - 74TH ST,Gym,"1429 2nd Avenue, New York, NY 10021",212.249.3917,,http://www.equinox.com/clubs/new-york/uptown/74th,https://www.linkedin.com/company/163664?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A163664%2Cidx%3A2-2-3%2CtarId%3A1442379160003%2Ctas%3Aequi,https://www.facebook.com/Equinox,https://twitter.com/Equinox,,http://www.yelp.com/biz/equinox-new-york-8,3.5,48,"clean,gorgeous",https://www.youtube.com/user/equinox,https://instagram.com/equinox
16,Equinox - 76TH ST,Gym,"344 Amsterdam Avenue, New York, NY 10024",212.496.2374,,http://www.equinox.com/clubs/new-york/uptown/76th,https://www.linkedin.com/company/163664?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A163664%2Cidx%3A2-2-3%2CtarId%3A1442379160003%2Ctas%3Aequi,https://www.facebook.com/Equinox,https://twitter.com/Equinox,,http://www.yelp.com/biz/equinox-new-york-33,4,63,"beautiful, clean,luxurious",https://www.youtube.com/user/equinox,https://instagram.com/equinox
17,Equinox - 85TH ST,Gym,"203 East 85th St, New York, NY 10028",212.439.8500,,http://www.equinox.com/clubs/new-york/uptown/85th,https://www.linkedin.com/company/163664?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A163664%2Cidx%3A2-2-3%2CtarId%3A1442379160003%2Ctas%3Aequi,https://www.facebook.com/Equinox,https://twitter.com/Equinox,,http://www.yelp.com/biz/equinox-new-york-30,3.5,47,"TRX section,Streching area",https://www.youtube.com/user/equinox,https://instagram.com/equinox
18,Equinox - 92ND ST,Gym,"2465 Broadway, New York, NY 10025",212.799.1818,,http://www.equinox.com/clubs/new-york/uptown/92nd,https://www.linkedin.com/company/163664?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A163664%2Cidx%3A2-2-3%2CtarId%3A1442379160003%2Ctas%3Aequi,https://www.facebook.com/Equinox,https://twitter.com/Equinox,,http://www.yelp.com/biz/equinox-new-york-35,3.5,57,"younger crowd,mostly students",https://www.youtube.com/user/equinox,https://instagram.com/equinox
19,Equinox - COLUMBUS CIRCLE,Gym,"10 Columbus Cir New York, NY 10019",212.871.0425,,http://www.equinox.com/clubs/new-york/uptown/columbuscircle,https://www.linkedin.com/company/163664?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A163664%2Cidx%3A2-2-3%2CtarId%3A1442379160003%2Ctas%3Aequi,https://www.facebook.com/Equinox,https://twitter.com/Equinox,,http://www.yelp.com/biz/equinox-new-york-16,3,100,"relaxing yoga classes, mixed crowed, working people,clean,not crowded",https://www.youtube.com/user/equinox,https://instagram.com/equinox
20,Equinox - EAST 92ND STREET,Gym,"203 East 92nd Street, New York, NY 10128",,,http://www.equinox.com/clubs/new-york/uptown/east92nd,https://www.linkedin.com/company/163664?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A163664%2Cidx%3A2-2-3%2CtarId%3A1442379160003%2Ctas%3Aequi,https://www.facebook.com/Equinox,https://twitter.com/Equinox,,,,,,https://www.youtube.com/user/equinox,https://instagram.com/equinox
21,Equinox - SPORTS CLUB NEW YORK (UWS),Gym,"160 Columbus Ave, New York, NY 10023",212.362.6800,,http://www.equinox.com/clubs/new-york/uptown/sportsclubnewyork,https://www.linkedin.com/company/163664?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A163664%2Cidx%3A2-2-3%2CtarId%3A1442379160003%2Ctas%3Aequi,https://www.facebook.com/Equinox,https://twitter.com/Equinox,,http://www.yelp.com/biz/equinox-sports-club-new-york-new-york-2,2.5,13,"huge,country club feel",https://www.youtube.com/user/equinox,https://instagram.com/equinox
22,Equinox - SPORTS CLUB UPPER EAST SIDE,Gym,"330 E 61st St, New York, NY 10065",212.355.5100,,http://www.equinox.com/clubs/new-york/uptown/sportsclubuppereastside,https://www.linkedin.com/company/163664?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A163664%2Cidx%3A2-2-3%2CtarId%3A1442379160003%2Ctas%3Aequi,https://www.facebook.com/Equinox,https://twitter.com/Equinox,,http://www.yelp.com/biz/equinox-sports-club-upper-east-side-new-york,3.5,7,"huge,7 floors,Outdated vibe",https://www.youtube.com/user/equinox,https://instagram.com/equinox
23,Equinox - 43RD ST,Gym,"521 Fifth Avenue, New York, NY 10175",212.972.8000,,http://www.equinox.com/clubs/new-york/midtown/43rd,https://www.linkedin.com/company/163664?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A163664%2Cidx%3A2-2-3%2CtarId%3A1442379160003%2Ctas%3Aequi,https://www.facebook.com/Equinox,https://twitter.com/Equinox,,http://www.yelp.com/biz/equinox-new-york-31,3.5,29,,https://www.youtube.com/user/equinox,https://instagram.com/equinox
